Time;Arcella1A;Arcella1B;Arcella1C;Arcella2A;Arcella2B;Arcella2C;Arcella3A;Arcella3B;Arcella3C
0,8;1;2;1;1;3;1;0;3;2
1,3;6;4;0;1;3;1;0;1;1
1,6;7;2;3;3;2;2;1;0;2
1,8;3;7;2;2;4;2;0;4;0
2,3;7;7;4;6;4;4;7;4;3
2,6;8;8;6;4;5;6;8;7;7
2,8;11;16;10;9;14;7;6;8;6
3,3;17;28;17;16;13;20;19;21;17
3,6;19;21;31;15;36;35;21;19;26
3,8;33;25;40;37;39;27;21;26;30
4,3;62;78;69;72;72;61;46;29;46
4,6;86;87;89;76;86;97;46;71;66
4,8;106;77;89;82;100;102;61;60;63
5,3;169;165;167;161;154;163;113;123;147
5,6;155;178;164;142;163;153;126;134;130
5,8;141;160;138;180;172;165;157;144;156
6,3;153;176;160;157;175;162;126;138;139
6,6;154;157;158;156;154;157;150;137;144
6,8;171;159;144;149;165;164;157;162;149
7,3;183;159;163;147;159;158;125;141;156
