Time;Pyx1A;Pyx1B;Pyx1C;Pyx2A;Pyx2B;Pyx2C;Pyx3A;Pyx3B;Pyx3C
0,6;1;1;0;2;2;1;3;1;1
0,8;2;1;0;1;2;1;2;2;1
1,3;0;1;0;3;1;1;3;3;1
1,6;1;3;0;1;2;1;0;3;1
1,8;0;3;0;0;0;0;0;0;0
2,3;18;16;24;16;12;11;36;34;37
2,6;36;32;24;30;24;24;36;49;46
2,8;44;29;53;64;43;56;65;65;36
3,3;58;32;40;43;50;52;74;83;80
3,6;79;71;76;62;68;57;101;84;123
3,8;107;103;98;114;112;100;171;173;168
4,3;202;216;200;184;223;199;191;156;176
4,6;220;205;244;186;248;226;209;305;223
4,8;176;179;202;198;219;195;185;185;186
5,3;265;297;323;317;423;351;202;226;267
5,6;308;379;407;357;373;367;200;254;295
5,8;455;426;369;408;413;445;240;362;274
6,3;713;818;659;933;1056;941;437;399;408
6,8;791;717;741;1097;1102;1224;599;573;511
7,3;1648;1735;1669;452;447;602;224;185;326
7,6;1992;1700;1772;459;510;484;205;264;324
7,8;531;495;410;488;419;473;285;333;350
8,3;549;576;506;480;446;466;461;505;425
8,6;584;538;573;497;426;436;495;461;429
8,8;571;479;494;481;436;390;485;497;467
9,3;513;430;460;441;440;459;456;461;425
9,6;440;419;423;412;358;393;503;441;418
9,8;281;265;282;328;347;258;398;373;326
10,3;372;354;395;362;349;321;385;389;407
